	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
14250	0.008772629	0.29765323	0.19107385	0.12566073	0.04899272	0.25694618	0.032319903	0.038580757
14218	0.0037401905	0.47744346	0.06161045	0.07994639	0.018657897	0.2814732	0.014809775	0.062318627
14210	0.0039319363	0.4870287	0.0597489	0.06909347	0.017321689	0.27985582	0.015193369	0.06782621
14202	0.0035444705	0.5930476	0.07778961	0.069423765	0.018376231	0.13072442	0.0082284445	0.09886542
14194	0.0073173805	0.3489702	0.22078685	0.09990195	0.030622443	0.21859257	0.022122001	0.05168662
14186	0.006177904	0.40709543	0.13360952	0.10994828	0.030130873	0.20242004	0.021511974	0.089106016
14170	0.004935717	0.3872857	0.10841935	0.10585791	0.021998249	0.28090593	0.018406413	0.07219072
14162	0.00671252	0.3913441	0.16390337	0.10164636	0.030831119	0.21851481	0.024429372	0.06261834
14249	0.0037937257	0.50152516	0.045941833	0.06888942	0.022211453	0.19213103	0.013100262	0.1524071
14233	0.0043081394	0.46355262	0.06902185	0.077262476	0.020694358	0.27580234	0.016800938	0.07255723
14193	0.004287613	0.44716036	0.10875463	0.08082668	0.024624718	0.24085693	0.015988372	0.07750074
14185	0.003771289	0.41633308	0.11412707	0.09651446	0.020490525	0.2598852	0.014969654	0.073908724
13826	0.005288211	0.41010413	0.043062046	0.06958341	0.03179053	0.29281905	0.018176116	0.12917648
13818	0.0031208557	0.550353	0.046621025	0.05951324	0.018817855	0.24708523	0.015174116	0.059314605
13810	0.005154785	0.48016524	0.06977423	0.1226151	0.027546085	0.18450032	0.014738686	0.095505595
13802	0.0046626325	0.4909451	0.11511127	0.068311125	0.022251485	0.21623982	0.018309519	0.06416902
13865	0.002609053	0.57503843	0.041548446	0.053925734	0.012825941	0.20112018	0.010230615	0.102701545
13857	0.004306006	0.4257331	0.09487154	0.06545335	0.02162239	0.2382979	0.01286758	0.1368481
14017	0.008817894	0.34141627	0.11961042	0.1004217	0.032788392	0.2853253	0.028085351	0.083534695
13841	0.0042772056	0.34657422	0.07719619	0.06422513	0.017239451	0.18682276	0.009425806	0.29423925
13833	0.0037839916	0.25841615	0.10550576	0.05684091	0.016828293	0.07366399	0.009316361	0.4756446
13817	0.0053018876	0.351467	0.07628867	0.060979277	0.016002856	0.26286793	0.010030619	0.21706176
13755	0.0053931703	0.3503112	0.20607758	0.08730141	0.03187692	0.21306558	0.01574865	0.090225495
13747	0.011637992	0.28163397	0.10961779	0.25921288	0.05307777	0.24458592	0.009299328	0.030934319
13731	0.005329342	0.4113535	0.1518976	0.092538275	0.029128721	0.2206089	0.017690443	0.07145317
13723	0.004665412	0.41683885	0.17045777	0.13390662	0.022486301	0.17076565	0.009955513	0.0709239
13715	0.0034629386	0.44980964	0.08043685	0.07015956	0.02200003	0.25692686	0.012198795	0.10500535
13746	0.0025396496	0.28874323	0.044340927	0.048275698	0.017175272	0.053732082	0.0064763785	0.53871673
13738	0.002287127	0.28768015	0.044593245	0.05678971	0.013514988	0.0538263	0.0056627668	0.53564566
13722	0.003070794	0.29889354	0.08288339	0.058541358	0.014516965	0.07695907	0.009725082	0.45540985
13634	0.0032608535	0.26224503	0.04213436	0.069685616	0.015215089	0.117568135	0.008042409	0.48184848
13626	0.0037693789	0.27151844	0.041791927	0.07616968	0.017868109	0.124961756	0.009345315	0.4545753
13618	0.009439376	0.29021254	0.09850472	0.09137923	0.039077472	0.119553424	0.029843485	0.32198977
13809	0.0042413813	0.39910707	0.097397126	0.060156506	0.017557407	0.21691966	0.011692677	0.19292815
13594	0.005019311	0.40992567	0.08184733	0.0597875	0.018090978	0.23149423	0.012305506	0.18152948
13673	0.0027519008	0.3268609	0.083818644	0.052358937	0.016428156	0.07312869	0.008253488	0.43639922
13665	0.0060282084	0.31686378	0.062986985	0.08505038	0.022839198	0.22999008	0.015584014	0.26065734
13657	0.0043847207	0.29643178	0.06954521	0.06836578	0.01690335	0.15807928	0.012950466	0.3733394
13682	0.01393329	0.25488466	0.11664733	0.25137484	0.056764867	0.27139792	0.00825642	0.02674069
13753	0.0063986084	0.34270334	0.13192563	0.11264522	0.037346374	0.27729663	0.019284632	0.072399594
13705	0.0024872518	0.32784778	0.048990447	0.05316861	0.016816678	0.06644735	0.0073627816	0.4768791
13681	0.0032403239	0.29469773	0.085485615	0.06021722	0.015116994	0.080970064	0.010063986	0.45020807
13625	0.004720718	0.23610353	0.15935154	0.069378145	0.020631095	0.10229594	0.011167451	0.39635155
13609	0.0072976816	0.29601866	0.17096162	0.10716221	0.028098144	0.2013339	0.012051724	0.17707604
13707	0.0059781116	0.29471436	0.3214848	0.09294956	0.026279002	0.18457846	0.014023724	0.05999198
13683	0.00726054	0.31052563	0.15904033	0.10797297	0.02483175	0.19492392	0.013846271	0.18159862
13770	0.0063150316	0.32853764	0.12803946	0.10734594	0.02412507	0.20330091	0.0102373855	0.19209857
14139	0.005693896	0.44307366	0.094312645	0.0789474	0.024088033	0.13571654	0.009177252	0.20899059
14099	0.005100342	0.4716455	0.077620186	0.07773685	0.02369043	0.14047812	0.009550633	0.19417793
14091	0.0051862686	0.44825307	0.08180943	0.08229258	0.024028307	0.16316009	0.009946237	0.18532412
14116	0.005812681	0.43813384	0.116345026	0.08292993	0.025138274	0.12584533	0.009216143	0.19657882
